user_second_field	No OdM	Brak zlecenia pracy	No WO	Нет ордера	
work_order_creation_push_info_management_page_title	Gestione Push Info	Zarządzanie informacjami pulpitu	Push Info Management	Управление Push информацией	
work_order_creation_push_info_management_button_title_new	Assegna e crea work order	Przypisz do mnie i utwórz zlecenie pracy	Assign to me and create WO	Создать ордер и назначить его себе	
work_order_creation_push_info_management_button_title_assigned	Crea work order	Tworzenie zlecenia pracy	WO creation	Создание ордера	
work_order_creation_page_title	Creazione Ordine - Dati Generali	Tworzenie zlecenia pracy - Dane ogólne	WO Creation - General Data	Основные данные	
work_order_creation_equipment	Equipment	Equipment	Equipment	Equipment	
work_order_creation_equipment_mandatory	Equipment*	Equipment*	Equipment*	Equipment*	
work_order_creation_functional_location	Sede Tecnica	Functional Location	Functional Location	Functional Location	
work_order_creation_functional_location_mandatory	Sede Tecnica*	Functional Location*	Functional Location*	Functional Location*	
work_order_creation_inventory_number	Numero NT	Inventory number	Inventory number	Inventory number	
work_order_creation_inventory_number_mandatory	Numero NT*	Inventory number*	Inventory number*	Inventory number*	
work_order_creation_notification_type	Tipo di Richiesta	Typ zgłoszenia	Notification Type	Тип нотификации	
work_order_creation_notification_type_mandatory	Tipo di Richiesta*	Typ zgłoszenia*	Notification Type*	Notification Type*	
work_order_creation_type	Tipo di Ordine	Typ zlecenia pracy	WO Type	Тип ордера	
work_order_creation_type_mandatory	Tipo di Ordine*	Typ zlecenia pracy*	WO Type*	WO Type*	
work_order_creation_short_text_placeholder	Descrizione della richiesta	Notification description	Notification description	Notification description	
work_order_creation_short_text_placeholder_mandatory	Descrizione della richiesta*	Notification description*	Notification description*	Notification description*	
work_order_creation_required_restart	Inizio Manut.	Malfunction Start	Malfunction Start	Malfunction Start	
work_order_creation_required_restart_mandatory	Inizio Manut.*	Malfunction Start*	Malfunction Start*	Malfunction Start*	
work_order_creation_reportedby	Richiesto da	Reported by	Reported by	Reported by	
work_order_creation_reportedby_mandatory	Richiesto da*	Reported by*	Reported by*	Reported by*	
work_order_creation_priority	Priorità	Priority	Priority	Priority	
work_order_creation_priority_mandatory	Priorità*	Priority*	Priority*	Priority*	
work_order_creation_long_text_placeholder	Note aggiuntive	Additional Notes	Additional Notes	Additional Notes	
work_order_creation_long_text_placeholder_mandatory	Note aggiuntive*	Additional Notes*	Additional Notes*	Additional Notes*	
work_order_creation_pmact_type	Tipo di Attività	Activity Type	Activity Type	Activity Type	
work_order_creation_pmact_type_mandatory	Tipo di Attività*	Activity Type*	Activity Type*	Activity Type*	
work_order_creation_attachments	Allega Foto	Dodaj zdjęcie	Attach picture	Прикрепить файл	
work_order_creation_required_information	*indica un campo obbligatorio	* Wymagane pole	* Required field	* Required field	
work_order_creation_footer_button_title	Salva	Save	Save	Save	
push_info_item_assigned_notification	Notifica Assegnata	Przypisano zgłoszenie	Notification Assigned	Нотификация назначена	
push_info_item_new_notification	Nuova Notifica	Nowe zgłoszenie	New Notification	Новая нотификация	
push_info_item_assigned_work_order	Ordine Assegnato	Przypisane zlecenie pracy	WO Assigned	Ордер назначен	
push_info_item_confirm_restart	Conferma Ripartenza	Restart confirmation	Restart confirmation	Restart confirmation	
push_info_item_confirm_restart_body	The Notification was processed by maintenance. With confirmation of this message, the performed repair is confirmed and the notification is completed	Zgłoszenie zostało zrealizowane. Komunikat potwierdza wykonanie naprawy i zakończenie zgłoszenia	The Notification was processed by maintenance. With confirmation of this message, the performed repair is confirmed and the notification is completed	Нотификация была обработана технической службой. После подтверждения этого сообщения выполненный ремонт утверждается и нотификация закрывается.	
change_equipment_page_title	Creazione Ordine - Cambio Equipment	Tworzenie zlecenia pracy - Zmiana urządzenia	WO Creation - Change equipment	Изменить оборудование	
change_equipment_equipment	Vecchio Equipment*	Stare urządzenie*	Old Equipment*	Старое оборудование*	
change_equipment_new_equipment	Equipment*	Equipment	Equipment	Equipment	
change_equipment_placeholder_search	Cerca Equipment	Search equipment	Search equipment	Search equipment	
change_equipment_required_information	* indica un campo obbligatorio	* Wymagane pole	* Required field	* Required field	
change_notification_type_page_title	Creazione Ordine - Cambio Tipo	Tworzenie zlecenia pracy — zmiana typu pracy	WO Creation - Type Change	Тип ордера	
change_notification_type_field_notification_type	Tipo Richiesta*	Notification Type*	Notification Type*	Notification Type*	
change_notification_type_field_new_notification_type	Nuovo Tipo Richiesta*	Nowy typ zgłoszenia*	New Notification Type*	Новый тип нотификации*	
change_notification_type_field_new_workorder_type	Nuovo Tipo Ordine	Nowy typ zlecenia pracy	New WO Type	Новый тип ордера	
change_notification_type_placeholder_search	Cerca Tipo Richiesta	Search Notification type	Search Notification type	Search Notification type	
change_notification_type_required_information	* indica un campo obbligatorio	* Wymagane pole	* Required field	* Required field	
work_order_details_page_title	Ordine di Manutenzione - Salvato	Zlecenie pracy — zapisane	Work Order - Saved	Подробности ордера	
work_order_details_work_order_id	Ordine di Manutenzione	Work Order	Work Order	Work Order	
work_order_details_equipment	Equipment	Equipment	Equipment	Equipment	
work_order_details_functional_location	Sede Tecnica	Functional Location	Functional Location	Functional Location	
work_order_details_inventory	Numero NT	Inventory number	Inventory number	Inventory number	
work_order_details_button_close	Pagina Iniziale	Homepage	Homepage	Homepage	
work_order_details_toast_message	Ordine di Manutenzione creato	Utworzono zlecenie pracy	Work Order created	Ордер создан	
work_order_details_toast_message_offline	Dato salvato in locale	Data saved locally	Data saved locally	Data saved locally	
notification_list_page_title	Lista Richieste Aperte	Otwórz listę zgłoszeń	Notification list	Список нотификаций	
notification_list_page_title_confirm_restart	Richieste da confermare	Prośby do potwierdzenia	Requests to be confirmed	Запросы на подтверждение	
notification_list_table_section_header	Richieste Aperte (%@)	Otwórz zgłoszenia (%@)	Open Notifications (%@)	Нотификации (%@)	
notification_list_table_filter_button	Ricerca Avanzata	Wyszukiwanie zaawansowane	Advanced search	Расширенный поиск	
notification_list_search_bar_placeholder	Cerca richieste	Wybierz zgłoszenia	Search notification	Поиск нотификаций	
notification_list_notification_field	Richiesta	Notification	Notification	Notification	
notification_list_short_text_field	Descrizione della richiesta	Short text	Short text	Short text	
notification_list_type_field	Tipo di richiesta	Notification Type	Notification Type	Notification Type	
notification_list_work_order_field	Ordine di Manutenzione	Work Order	Work Order	Work Order	
notification_list_equipment_field	Equipment	Equipment	Equipment	Equipment	
notification_list_func_location_field	Sede Tecnica	Functional Location	Functional Location	Functional Location	
notification_list_notification_type_filter_title	Tipo:	Rodzaj:	Type:	Тип:	
notification_list_equipment_filter_title	Equipment:	Urządzenie:	Equipment:	Оборудование:	
notification_list_status_filter_title	Status:	Status:	Status:	Статус:	
notification_list_work_order_type_filter_title	Ordine:	Zlecenie pracy:	Work Order:	Ордер:	
notification_list_functional_location_filter_title	Sede Tecnica:	Lokalizacja funkcjonalna:	Functional Location:	Локация:	
notification_list_assigned_to_me_filter_title	Assegnato a me	Przypisany do mnie	Assigned to me	Назначена мне	
notification_list_search_for_label	Cerca per:	Szukaj:	Search for:	Поиск	
notification_list_reported_by	Richiesto da	Reported by	Reported by	Reported by	
notification_list_creation_date_hour	Data Creazione Richiesta	Creation Date	Creation Date	Creation Date	
notification_list_workcenter	Officina competente	Workcenter	Workcenter	Workcenter	
notification_list_toast_message_offline	I dati potrebbero non essere aggiornati	Dane mogą nie być aktualizowane	Data may not be updated	Данные не могут быть обновлены	
notification_list_detail_page_title	Dettaglio Richiesta Aperta	Otwórz szczegóły zgłoszenia	Open notification details	Открыть подробности нотификации	
notification_cell_new_status	Nuova	Nowy	New	Новая	
notification_cell_assigned_status	Assegnata	Przypisany	Assigned	Назначена	
filter_notification_right_button_title	Fine	End	End	End	
filter_notification_view_title	Elenco Richieste - Ricerca	Lista zgłoszeń - Szukaj	Notification List - Search	Поиск нотификаций	
filter_notification_notification_type_filter_value	Tipo di Richiesta	Notification Type	Notification Type	Notification Type	
filter_notification_equipment_filter_value	Equipment	Equipment	Equipment	Equipment	
filter_notification_status_filter_value	Stato	Stan	Status	Статус	
filter_notification_work_order_type_filter_value	Tipo di ordine	WO Type	WO Type	WO Type	
filter_notification_functional_location_filter_value	Sede tecnica	Functional Location	Functional Location	Functional Location	
filter_notification_work_order_assigned_filter_value	Assegnato a me	Assigned to me	Assigned to me	Assigned to me	
filter_notification_selected_text	 selezionati	wybrany	selected	Выбранно	
manage_mtce_view_title	Pagina Iniziale - Manutenzione	Strona główna - Utrzymanie ruchu	Homepage - Maintenance	Стартовый экран - Техническое обслуживание	
manage_mtce_reservation	Impegno Materiale	Rezerwacja	Reservation	Управление резервированием	
manage_mtce_time_declaration	Nuova Assegnazione	Nowe przypisanie	New Assignment	Новое назначение	
manage_mtce_tech_summary	Consuntivazione	Podsumowanie techniczne	Technical summary	Техническое заключение	
manage_mtce_forward	Richiesta Supporto	Przekaż	Forward	Переслать	
manage_mtce_document_list	Lista Attività	Lista aktywności	Activity list 	Список действий	
push_info_management_rmt_alert_controller_title	Vuoi rifiutare la richiesta?	Czy chcesz odrzucić zgłoszenie?	Do you want to reject the notification?	Вы хотите отклонить нотификацию?	
push_info_management_rmt_alert_controller_left_button	No	No	No	No	
push_info_management_rmt_alert_controller_right_button	Si	Yes	Yes	Yes	
push_info_work_order_management_assign_page_title	Gestione OdM	Zarządzanie zleceniami pracy	WO Management	Управление ордером	
push_info_work_order_management_assign_sap_notification	Richiesta SAP	SAP Notification	SAP Notification	SAP Notification	
push_info_work_order_management_assign_work_order	Ordine di Manutenzione	Work Order	Work Order	Work Order	
push_info_work_order_management_footer_button_title	Conferma	Confirm	Confirm	Confirm	
push_info_work_order_management_detail_equipment_title	Equipment	Equipment	Equipment	Equipment	
push_info_work_order_management_detail_text_title	Descrizione della richiesta	Short text	Short text	Short text	
push_info_work_order_management_detail_reported_by_title	Richiesto da	Reported by	Reported by	Reported by	
push_info_work_order_management_detail_functional_location_title	Sede Tecnica	Functional Location	Functional Location	Functional Location	
push_info_work_order_management_detail_header_title	Dettagli	Details	Details	Details	
push_info_work_order_management_description	A new task has been created in your work list	Masz nowe zadanie	A new task has been created in your work list	Новое задание в вашем списке задач	
forward_work_order_page_title	Richiesta Supporto	Przekaż do innej grupy zawodowej	Support Request	Переслять другому рабочему месту	
forward_work_order_work_order	Ordine di Manutenzione*	Maintenance order*	Maintenance order*	Maintenance order*	
forward_work_order_work_center	Officina*	Workshop*	Workshop*	Workshop*	
forward_work_order_footer_button_title	Richiedi supporto	Request support	Request support	Request support	
forward_work_order_all_items	Tutti (%@)	Wszystko (%@)	All (%@)	Все (%@)	
forward_work_order_search_work_center_placeholder	Cerca Officina Competente	Search Competent Workshop	Search Competent Workshop	Search Competent Workshop	
forward_work_order_search_filter_search_placeholder	Cerca Ordine di manutenzione	Search Maintenance Order	Search Maintenance Order	Search Maintenance Order	
forward_work_order_confirm_toast_message	Ordine di manutenzione inoltrato	Zlecenie pracy przekazane	Maintenance order submitted	Ордер перенаправлен	
forward_work_order_select_work_order_page_title	Seleziona OdM	Select Maintenance Order	Select Maintenance Order	Select Maintenance Order	
forward_work_order_assign_cell_title	Ordine	Zlecenie pracy	Order	Order	
notification_new_status	NUOVA	NEW	NEW	NEW	
notification_assigned_status	ASSEGNATA	ASSIGNED	ASSIGNED	ASSIGNED	
notification_reject_status	RIFIUTATA	ODRZUCONE	REJECTED	ОТКЛОНЕННО	
notification_closed_status	CHIUSA	ZAMKNIĘTE	CLOSED	ЗАКРЫТО	
notification_filed_status	ARCHIVIATA	Wypełniony	FILED	Подтвержден запуск	
notification_dummy_status	GENERICO	Fikcyjny	DUMMY	DEMO	
notification_status_assigned_to_me	A ME	Dla mnie	TO ME	назначно мне	
work_order_assigned_to_me_status	ASSEGNATA A ME	Przypisany do mnie	ASSIGNED TO ME	Назначен мне	
work_order_not_assigned_to_me_status	NON ASSEGN. A ME	NIE PRZYPISANE DO MNIE	NOT ASSIGNED TO ME	НЕ НАЗНАЧЕНО МНЕ	
select_notification_status_page_title	Seleziona Stato	Wybierz status	Select Status	Выбрать статус	
select_notification_status_table_section_header	Tutti gli stati (%@)	Wszystkie stany (%@)	All status (%@)	Все статусы (%@)	
select_notification_status_section_header_selected	Selezionati (%@)	Selected (%@)	Selected (%@)	Selected (%@)	
select_notification_status_footer_button_title	Conferma Selezione	Wybór potwierdzenia	Confirmation Selection	Подтвердить	
select_multiple_notification_type_page_title	Seleziona tipo di richiesta	Wybierz typ zgłoszenia	Select notification type	Выбрать тип нотификации	
select_multiple_notification_type_table_section_header	Tutti i tipi di richiesta (%@)	Wszystkie typy zgłoszeń (%@)	Notification type: (%@)	Все типы нотификаций (%@)	
select_multiple_notification_type_section_header_selected	Selezionati (%@)	Selected (%@)	Selected (%@)	Selected (%@)	
select_multiple_notification_type_footer_button_title	Conferma Selezione	Confirmation Selection	Confirmation Selection	Confirmation Selection	
select_multiple_equipment_page_title	Seleziona equipment	Wybierz urządzenie	Select equipment	Выбрать оборудование	
select_multiple_equipment_table_section_header	Tutti i tipi di equipment (%@)	Wszystkie typy urządzeń (%@)	Equipment found: (%@)	Все типы оборудования (%@)	
select_multiple_equipment_section_header_selected	Selezionati (%@)	Selected (%@)	Selected (%@)	Selected (%@)	
select_multiple_equipment_footer_button_title	Conferma Selezione	Confirmation Selection	Confirmation Selection	Confirmation Selection	
select_multiple_work_order_type_page_title	Seleziona tipo di ordine	Wybierz typ zlecenia pracy	Select WO type	Выбрать тип ордера	
select_multiple_work_order_type_table_section_header	Tutti i tipi di ordine (%@)	Wszystkie typy zleceń pracy (%@)	All WO types (%@)	Все тип ордеров (%@)	
select_multiple_work_order_type_section_header_selected	Selezionati (%@)	Selected (%@)	Selected (%@)	Selected (%@)	
select_multiple_work_order_type_footer_button_title	Conferma Selezione	Confirmation Selection	Confirmation Selection	Confirmation Selection	
select_multiple_functional_location_page_title	Seleziona sede tecnica	Wybierz lokalizację funkcjonalną	Select Functional Location	Выбрать локацию	
select_multiple_functional_location_table_section_header	Tutte le Sedi Tecniche (%@)	Wszystkie lokalizacje funkcjonalne (%@)	Functional Location: (%@)	Все локации (%@)	
select_multiple_functional_location_section_header_selected	Selezionati (%@)	Selected (%@)	Selected (%@)	Selected (%@)	
select_multiple_functional_location_footer_button_title	Conferma Selezione	Confirmation Selection	Confirmation Selection	Confirmation Selection	
multiple_selection_footer_button_title	Conferma selezionati	Wybrane potwierdzenie	Confirmation selected	Подтвердить	
select_notification_status_section_header_selected	Selezionati (%@)	Selected (%@)	Selected (%@)	Selected (%@)	
select_notification_status_section_header	Tutti (%@)	All (%@)	All (%@)	All (%@)	
barcode_filter_button_view_barcode_button_title	Codice a barre	Barcode	Barcode	Barcode	
barcode_filter_button_view_filter_button_title	Filtri	Filters	Filters	Filters	
create_reservation_page_title	Crea Impegno	Tworzenie rezerwacji	Reservation creation	Создание резерва	
create_reservation_movement_type_title	Tipo Movimento*	Typ ruchu*	Movement Type*	Тип движения*	
create_reservation_sap_work_order_title	Ordine di Manutenzione*	Zlecenie pracy*	WO	Ордер*	
create_reservation_cost_center_title	Centro di Costo*	Cost center	Cost center	Cost center	
create_reservation_footer_button_title	Compila lista materiali	Wypełnij listę materiałów	Fill out material list	Выбрать материал	
create_reservation_discharge_point_title	Punto di scarico	Delivery point	Delivery point	Delivery point	
create_reservation_discharge_point_title_mandatory	Punto di scarico*	Delivery point*	Delivery point*	Delivery point*	
create_reservation_date_of_need	Data di bisogno	Data zapotrzebowania	Requirement Date	Необходимая дата	
create_reservation_express_check	Express	Szybki	Express	Экспресс проверка резервирования	
select_movement_type_page_title	Tipo di Movimento	Rodzaj ruchu	Movement Type	Тип движения	
select_movement_type_table_section_header_view_item	Elementi (%@)	Elementy (%@)	Elements (%@)	Элементы (%@)	
reservation_details_page_title	Dettagli Impegno	Szczegóły rezerwacji	Reservation details	Подробности резервирования	
reservation_details_sap_reservation_title	Impegno SAP	Rezerwacja SAP	SAP Reservation	Подробности SAP резервирования	
reservation_details_footer_button_title	Chiudi	Close	Close	Close	
reservation_details_toast_message	Nuovo Impegno Creato	Utworzono nową rezerwację	New Reservation Created	Созданно новое резервирование	
reservation_items_page_title	Impegno	Rezerwacja	Reservation	Позиции резервирования	
reservation_items_add_button_title	Aggiungi elemento	Nowa pozycja	Add item	Добавить позицию	
reservation_items_delete_button_title	Cancella elemento	Zmiana pozycji	Delete item	Удалить позицию	
reservation_items_edit_button_title	Modifica elemento	Change item	Change item	Change item	
reservation_items_table_section_header_view_item	Componenti (%@)	Przedmioty (%@)	Items (%@)	Позиции	
reservation_items_footer_button_title	Salva e Stampa	Zapisz i wydrukuj	Save and Print	Сохранить и распечатать	
reservation_items_title_items	Elemento %@	Pozycja %@	Item %@	Позиция	
reservation_items_items_deleted_toast_message	Elementi cancellati	Usunięte składniki	Deleted items	Удаленные позиции	
reservation_items_spare_part_title	Pezzo di Ricambio	Część zamienna	Spare part	Резервирование запчастей	
reservation_items_text_title	Descrizione	Opis	Description	Описание	
reservation_items_quantity_title	Quantità 	Ilość	Quantity 	Количество	
reservation_items_unrestricted_title	Utilizzo libero	Do użycia	Free use	Свободное использование	
reservation_items_quality_title	Qualità	Jakość	Quality 	Качество	
reservation_items_wh_title	Magazzino	Magazyn	Warehouse	Технический склад	
reservation_items_unit_title	Unità	Jednostka	Unity 	Название единицы	
reservation_items_plant_title	Stabilimento	Zakład	Plant	Завод	
add_reservation_item_right_button_title	Fine	End	End	End	
add_reservation_item_page_title	Aggiungi Elemento	Add item	Add item	Add item	
add_reservation_spare_part_title	Codice Materiale*	Spare part*	Spare part*	Spare part*	
add_reservation_bom_title	BOM*	BOM	BOM*	Спецификация	
add_reservation_text_title	Descrizione	Description	Description	Description	
add_reservation_quantity_title	Q.tà da impegnare*	Quantity*	Quantity*	Quantity*	
add_reservation_unrestricted_title	Q.tà in Utilizzo libero	Free use	Free use	Free use	
add_reservation_quality_title	Q.tà in Controllo Qualità	Quality	Quality	Quality	
add_reservation_wh_title	Magazzino	Warehouse	Warehouse	Warehouse	
add_reservation_unit_title	Unità di Misura	Unit	Unit	Unit	
add_reservation_plant_title	Stabilimento	Plant	Plant	Plant	
add_reservation_longtext_title	Descrizione Estesa	Long Description	Long Description	Long Description	
add_reservation_bom_quantity_title	Quantità BOM	Installed BOM	Installed BOM	Installed BOM	
add_reservation_id_manufacturer_title	Codice costruttore	Manufacturer	Manufacturer	Manufacturer	
add_reservation_note1_title	Nota 1	POTX1	POTX1	POTX1	
add_reservation_note2_title	Nota 2	POTX2	POTX2	POTX2	
add_reservation_quantity_reserved_title	Q.tà già Impegnata	Quantity Reserved	Quantity Reserved	Quantity Reserved	
confirm_machine_restart_page_title	Conferma Ripartenza Macchina	Potwierdź start maszyny	Confirm Restart Machine	Подтвердить запуск машины	
confirm_machine_restart_detail_work_order_type_title	Tipo di ordine	WO Type	WO Type	WO Type	
confirm_machine_restart_detail_equipment_title	Equipment	Equipment	Equipment	Equipment	
confirm_machine_restart_detail_functional_location_title	Sede Tecnica	Functional Location	Functional Location	Functional Location	
confirm_machine_restart_detail_reported_by_title	Richiesto da	Reported by	Reported by	Reported by	
confirm_machine_restart_detail_notification_title	Richiesta	Notification	Notification	Notification	
confirm_machine_restart_detail_notification_date_title	Data di inizio	Data rozpoczęcia	Start date	Дата рестарта	
confirm_machine_restart_header_title	Ordine di Manutenzione	Work Order	Work Order	Work Order	
confirm_machine_restart_description	The Notification was processed by maintenance. With confirmation of this message, the performed repair is confirmed and the notification is completed	The Notification was processed by maintenance. With confirmation of this message, the performed repair is confirmed and the notification is completed	The Notification was processed by maintenance. With confirmation of this message, the performed repair is confirmed and the notification is completed	The Notification was processed by maintenance. With confirmation of this message, the performed repair is confirmed and the notification is completed	
confirm_machine_restart_footer_button_title	Conferma Ripartenza	Restart confirmation	Restart confirmation	Restart confirmation	
confirm_date_and_hour_page_title	Conferma data e ora	Potwierdź datę i godzinę	Confirm date and time	Подтвердить дату и время	
confirm_date_and_hour_date_picker_title	Ripartenza	Restart	Restart	Подтверждение запуска оборудования	
confirm_date_and_hour_toast_message_offline	Dato salvato in locale	Data saved locally	Data saved locally	Data saved locally	
confirm_date_and_hour_toast_message	Ripartenza confermata	Restart potwierdzony	Restart confirmed	Запуск подтвержден	
confirm_working_start_page_title	Daily WO List	Codzienna lista zleceń pracy	Daily WO List	Ежедневный список ордеров	
confirm_working_start_cell_work_order_title	WO/Operation	Zlecenie pracy / Operacja	WO/Operation	Ордер / операция	
confirm_working_start_cell_equipment_title	Equipment	Equipment	Equipment	Equipment	
confirm_working_start_cell_reservation_tag	Reservation	Rezerwacja	Reservation	Резервирование	
confirm_working_start_table_header_title	All (%@)	Wszysko %@	All (%@)	Все %@	
confirm_working_start_table_header_title_selected	Selected (%@)	Wybrane (%@)	Selected (%@)	Выбрано (%@)	
confirm_working_start_footer_button_title	Start	Początek	Start	Начало	
time_declaration_page_title	Time Declaration	Deklaracja czasowa	Time Declaration	Декларация времени	
time_declaration_stop_button_title	Stop	STOP	Stop	Окончание	
time_declaration_break_button_title	Break	Przerwa	Break	Перерыв	
time_declaration_work_order_title	SAP Work Order	Zlecenie pracy z SAP	SAP Work Order	SAP ордер	
time_declaration_operation_title	Operation	Operacja	Operation	Операция	
time_declaration_start_table_header_title	Ordini di Manutenzione (%@)	Zlecenia pracy (%@)	Work Orders (%@)	Ордеры (%@)	
time_declaration_stop_success_toast_message	Lo stato dell'ordine di lavoro è stop	Status zlecenia pracy jest zatrzymany	The status of the work order is stopped	Статус ордера остановлен	
time_declaration_break_success_toast_message	Lo stato dell'ordine di lavoro è pausa	Status zlecenia pracy jest czasowo wstrzymany	The status of the work order is paused	Статус ордера приостановлен	
notification_management_page_title	Assegnazione Richiesta	Przypisanie zgłoszenia	Notification Assignment	Назначение нотификации	
notification_management_assign_to_title	Assegna a	Przypisz do	Assign to	Назначить исполнителя	
notification_management_reject_button_title	Rifiuta	Odrzuć	Reject	Отклонить	
notification_management_assign_to_me_button_title	Assegna a me	Przypisz do mnie	Assign to me	Назначить себе	
notification_management_show_work_order_button_title	Mostra info OdM	Show info WO	Show info WO	Show info WO	
notification_management_assign_to_me_and_create_work_order_button_title	Assegna a me e crea ordine	Przypisz do mnie i utwórz zlecenie pracy	Assign to me and create WO	Создать ордер и назначить его себе	
notification_management_create_wo_button_title	Crea ordine di manutenzione	Tworzenie zlecenia pracy	WO creation	Создание ордера	
notification_management_confirm_button_title	Conferma Assegnazione	Potwierdź przypisanie	Confirm assignment	Подтвердить назначение	
notification_management_toast_message_rejected	Richiesta rifiutata	Zgłoszenie odrzucone	Notification rejected	Нотификация отклонена	
notification_management_toast_message_assigned	Assegnazione eseguita con successo	Przypisanie wykonane pomyślnie	Assignment carried out successfully	Назначение выполнено успешно	
work_order_management_page_title	Gestione Ordine	Zarządzanie zleceniami pracy	WO Management	Управление ордером	
work_order_management_page_title_show	Gestione Ordine	WO Management	WO Management	WO Management	
work_order_management_sap_work_order	OdM	Zlecenie pracy	WO	WO	
work_order_management_equipment	Equipment	Equipment	Equipment	Equipment	
work_order_management_functional_location	Sede Tecnica	Functional Location	Functional Location	Functional Location	
work_order_management_inventory_number	Numero NT	Inventory number	Inventory number	Inventory number	
work_order_management_cost_center	Centro di costo	Cost center	Cost center	Cost center	
work_order_management_notification_type	Tipo di richiesta	Notification Type	Notification Type	Notification Type	
work_order_management_type	Tipo di ordine	WO Type	WO Type	WO Type	
work_order_management_short_text_placeholder	Descrizione della richiesta	Short text	Short text	Short text	
work_order_management_malfunction_start	Inizio Manut.	Malfunction Start	Malfunction Start	Malfunction Start	
work_order_management_reportedby	Richiesto da	Reported by	Reported by	Reported by	
work_order_management_notification_attachments	Allegati Richiesta	Załącznik do notyfikacji	Notification attachment	Вложенные файлы	
work_order_management_priority	Priorità	Priority	Priority	Priority	
work_order_management_long_text_placeholder	Note aggiuntive	Additional Notes	Additional Notes	Additional Notes	
work_order_management_pmact_type	Tipo di Attività	Activity Type 	Activity Type 	Activity Type 	
work_order_management_attachments	Allegati Richiesta/OdM	Notyfikacja/WO załącznik	Notification/WO attachment	Текущие вложения	
work_order_management_assigned_button_title	Chiudi	Close	Close	Close	
work_order_management_not_assigned_button_title					
work_order_management_operation	Operazioni	Operacje	Operations	Операции	
work_order_management_reservation	Impegni	Rezerwacje	Reservations	Резервирование	
work_order_management_object_list	Oggetti	Obiekty	Objects	Объекты	
documentation_master_data_page_title	Documentation/Master Data	Dokumentacja/Dane podstawowe	Documentation/Master Data	Документация/ Основные данные	
documentation_master_data_search_equipment	Cerca Equipment	Search equipment	Search equipment	Search equipment	
documentation_master_data_search_material	Cerca Materiale	Wybierz część zamienną	Search Material	Поиск матриала	
documentation_master_data_search_functional_location	Cerca Sede Tecnica	Search Functional Location	Search Functional Location	Search Functional Location	
documentation_master_data_view_documentation_master_data	Vedi Documentazione	Zobacz dokumentację	See Documentation	Смотри документацию	
documentation_master_data_link_column_header	Link	Połącz	Link	Ссылка	
documentation_master_data_document_type_column_header	Tipo Documento	Typ dokumentu	Document Type	Тип документа	
documentation_master_data_document_column_header_spare_parts	Nr° Materiale	Materiał NR	Material NR	Номер материала	
documentation_master_data_document_column_header_equipment	Nr° Equipment	Urządzenie nr	Equipment NR	Номер оборудования	
documentation_master_data_version_column_header	Versione	Wersja	Version	Версия	
documentation_master_data_description_column_header	Descrizione	Description	Description	Description	
documentation_master_data_material_column_header	Materiale	Materiał	Material	Материал	
documentation_master_data_description_column_header	Descrizione	Description	Description	Description	
documentation_master_data_quantity_column_header	Quantità	Quantity 	Quantity 	Quantity	
documentation_master_data_unit_column_header	Unità	Unity	Unity	Unity	
documentation_master_data_long_text_column_header	Testo Lungo	Długi tekst	Long Text	Подробный текст	
documentation_master_data_link_text	Visualizza	Wizualizacja	Visualize	Открыть	
equipment_documentation_page_title	Dati Equipment	Dane urządzenia	Equipment data	Данные оборудования	
equipment_documentation_documentation_section_header	Documentazione	Dokumentacja	Documentation	Основные данные оборудования	
equipment_documentation_bom_section_header	BOM	BOM	BOM	Спецификация	
equipment_documentation_manufacturer_data_section_header	Dati Produttore	Dane producenta	Manufacturer data	Данные производителя	
equipment_documentation_position_data_section_header	Dati Posizione	Dane pozycji	Position data	Данные о местоположении	
equipment_documentation_manufacturer	Produttore	Producent	Manufacturer	Производитель	
equipment_documentation_manufacturer_model	Modello Produttore n°	Numer modelu producenta	Manufacturer model number	Номер модели производителя	
equipment_documentation_year_of_construction	Anno di costruzione	Rok produkcji	Manufacture year	Год изготовления	
equipment_documentation_serial_number	Numero seriale	Numer seryjny	Serial number	Серийный номер	
equipment_documentation_plant	Impianto	Zakład	Plant	Завод	
equipment_documentation_plant_section	Sezione impianto	Obszar zakładu	Plant section	Заводской сектор	
documentation_page_title	Documentazione	Documentation	Documentation	Documentation	
no_associated_documents	Nessun documento associato	Brak powiązanych dokumentów	No documents associated	не содержит документов	
work_order_operations_page_title	Operazioni	Operations	Operations	Operations	
work_order_operations_operation_number	Numero operazione:	Numer operacji:	Operation number:	Номер операции:	
work_order_operations_operation_work_center	Centro di lavoro:	Grupa robocza:	Work center:	Рабочее место:	
work_order_operations_operation_long_text	Descrizione:	Opis:	Description:	Полное описание:	
work_order_operations_operation_long_text_2	Testo lungo:	Długi tekst:	Long Text:	Подробный текст:	
work_order_operations_operation_status	Stato macchina:	Stan maszyny:	Machine condition:	Состояние машины:	
work_order_reservations_page_title	Impegni	Reservations	Reservations	Reservations	
work_order_reservations_component	Materiale:	Materiał:	Material:	Материал:	
work_order_reservations_material_description	Descrizione materiale:	Opis materiału:	Material description:	Название материала	
work_order_reservations_quantity	Quantità:	Ilość:	Quantity:	Количество:	
work_order_reservations_unit_of_measure	Unità di misura:	Jednostka miary:	Unit of measurement:	Единица измерения:	
